ChatGPT_Prompt,Label
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 45518.20728, Bwd IAT Total = 9666.0, Bwd IAT Std = 5241.515625, Bwd IAT Max = 9272.0, Fwd PSH Flags = 0, Bwd Packets/s = 400.1600646972656, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 41476.75479, Bwd IAT Total = 10489.0, Bwd IAT Std = 5721.3671875, Bwd IAT Max = 10099.0, Fwd PSH Flags = 0, Bwd Packets/s = 364.63079833984375, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 48183.83988, Bwd IAT Total = 9067.0, Bwd IAT Std = 4859.2353515625, Bwd IAT Max = 8630.0, Fwd PSH Flags = 0, Bwd Packets/s = 423.5942077636719, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 42117.9302, Bwd IAT Total = 10251.0, Bwd IAT Std = 5605.2578125, Bwd IAT Max = 9886.0, Fwd PSH Flags = 0, Bwd Packets/s = 370.26751708984375, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 40340.45571, Bwd IAT Total = 10789.0, Bwd IAT Std = 5591.97705078125, Bwd IAT Max = 10046.0, Fwd PSH Flags = 0, Bwd Packets/s = 354.641357421875, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 39452.00728, Bwd IAT Total = 11037.0, Bwd IAT Std = 5989.23583984375, Bwd IAT Max = 10590.0, Fwd PSH Flags = 0, Bwd Packets/s = 346.8308410644531, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 44792.28195, Bwd IAT Total = 9696.0, Bwd IAT Std = 5293.89453125, Bwd IAT Max = 9342.0, Fwd PSH Flags = 0, Bwd Packets/s = 393.7782897949219, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 40448.03983, Bwd IAT Total = 10839.0, Bwd IAT Std = 5931.4365234375, Bwd IAT Max = 10460.0, Fwd PSH Flags = 0, Bwd Packets/s = 355.587158203125, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 43821.63151, Bwd IAT Total = 9902.0, Bwd IAT Std = 5406.41845703125, Bwd IAT Max = 9540.0, Fwd PSH Flags = 0, Bwd Packets/s = 385.2451171875, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 38634.62681, Bwd IAT Total = 11322.0, Bwd IAT Std = 6162.7119140625, Bwd IAT Max = 10887.0, Fwd PSH Flags = 0, Bwd Packets/s = 339.64508056640625, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 0.0, Fwd Packet Length Mean = 0.0, Fwd Packet Length Std = 0.0, Flow Bytes/s = 17.96041524, Bwd IAT Total = 1001693.0, Bwd IAT Std = 337.2899475097656, Bwd IAT Max = 501085.0, Fwd PSH Flags = 0, Bwd Packets/s = 2.9934024810791016, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 0.0, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 0, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 42040.09979, Bwd IAT Total = 10308.0, Bwd IAT Std = 5557.95849609375, Bwd IAT Max = 9851.0, Fwd PSH Flags = 0, Bwd Packets/s = 369.5832824707031, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 40412.11475, Bwd IAT Total = 10744.0, Bwd IAT Std = 5804.96728515625, Bwd IAT Max = 10279.0, Fwd PSH Flags = 0, Bwd Packets/s = 355.2713317871094, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 40049.29144, Bwd IAT Total = 10828.0, Bwd IAT Std = 5803.509765625, Bwd IAT Max = 10307.0, Fwd PSH Flags = 0, Bwd Packets/s = 352.0816955566406, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 43737.38345, Bwd IAT Total = 9921.0, Bwd IAT Std = 5282.447265625, Bwd IAT Max = 9400.0, Fwd PSH Flags = 0, Bwd Packets/s = 384.50445556640625, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 40173.05315, Bwd IAT Total = 10833.0, Bwd IAT Std = 5895.54296875, Bwd IAT Max = 10416.0, Fwd PSH Flags = 0, Bwd Packets/s = 353.1697082519531, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 40592.38112, Bwd IAT Total = 10800.0, Bwd IAT Std = 5847.86083984375, Bwd IAT Max = 10350.0, Fwd PSH Flags = 0, Bwd Packets/s = 356.8561096191406, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 40548.97068, Bwd IAT Total = 10718.0, Bwd IAT Std = 5838.17626953125, Bwd IAT Max = 10311.0, Fwd PSH Flags = 0, Bwd Packets/s = 356.4744567871094, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 41150.40246, Bwd IAT Total = 10561.0, Bwd IAT Std = 5731.5439453125, Bwd IAT Max = 10134.0, Fwd PSH Flags = 0, Bwd Packets/s = 361.76177978515625, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 26589.52782, Bwd IAT Total = 16753.0, Bwd IAT Std = 9364.4521484375, Bwd IAT Max = 16396.0, Fwd PSH Flags = 0, Bwd Packets/s = 233.75408935546875, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 40081.04299, Bwd IAT Total = 10830.0, Bwd IAT Std = 5833.4560546875, Bwd IAT Max = 10340.0, Fwd PSH Flags = 0, Bwd Packets/s = 352.3608093261719, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 47062.47414, Bwd IAT Total = 9303.0, Bwd IAT Std = 4842.978515625, Bwd IAT Max = 8686.0, Fwd PSH Flags = 0, Bwd Packets/s = 413.73602294921875, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 37559.84811, Bwd IAT Total = 11529.0, Bwd IAT Std = 6269.71435546875, Bwd IAT Max = 11078.0, Fwd PSH Flags = 0, Bwd Packets/s = 330.19647216796875, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 43391.18825, Bwd IAT Total = 10030.0, Bwd IAT Std = 5406.59912109375, Bwd IAT Max = 9581.0, Fwd PSH Flags = 0, Bwd Packets/s = 381.46099853515625, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 43132.05043, Bwd IAT Total = 10115.0, Bwd IAT Std = 5507.79345703125, Bwd IAT Max = 9729.0, Fwd PSH Flags = 0, Bwd Packets/s = 379.182861328125, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 46599.7542, Bwd IAT Total = 9341.0, Bwd IAT Std = 5076.78271484375, Bwd IAT Max = 8972.0, Fwd PSH Flags = 0, Bwd Packets/s = 409.6681823730469, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 42215.62442, Bwd IAT Total = 10389.0, Bwd IAT Std = 5517.84912109375, Bwd IAT Max = 9827.0, Fwd PSH Flags = 0, Bwd Packets/s = 371.1263732910156, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 112.0, Fwd Packet Length Mean = 25.799999237060547, Fwd Packet Length Std = 48.746280670166016, Flow Bytes/s = 45009.39757, Bwd IAT Total = 52.0, Bwd IAT Std = 0.0, Bwd IAT Max = 52.0, Fwd PSH Flags = 0, Bwd Packets/s = 197.843505859375, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 25.799999237060547, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 2053, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 46352.89324, Bwd IAT Total = 9415.0, Bwd IAT Std = 5070.6611328125, Bwd IAT Max = 8990.0, Fwd PSH Flags = 0, Bwd Packets/s = 407.4979553222656, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 41560.1023, Bwd IAT Total = 10461.0, Bwd IAT Std = 5580.1787109375, Bwd IAT Max = 9923.0, Fwd PSH Flags = 0, Bwd Packets/s = 365.363525390625, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 43969.84925, Bwd IAT Total = 9868.0, Bwd IAT Std = 5293.7470703125, Bwd IAT Max = 9396.0, Fwd PSH Flags = 0, Bwd Packets/s = 386.5481262207031, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 42555.18144, Bwd IAT Total = 10201.0, Bwd IAT Std = 5571.22216796875, Bwd IAT Max = 9831.0, Fwd PSH Flags = 0, Bwd Packets/s = 374.1114807128906, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 43345.71782, Bwd IAT Total = 10175.0, Bwd IAT Std = 5563.5146484375, Bwd IAT Max = 9813.0, Fwd PSH Flags = 0, Bwd Packets/s = 381.0612487792969, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 41613.31626, Bwd IAT Total = 10470.0, Bwd IAT Std = 5686.6640625, Bwd IAT Max = 10052.0, Fwd PSH Flags = 0, Bwd Packets/s = 365.83135986328125, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 326.0, Fwd Packet Length Mean = 108.66666412353516, Fwd Packet Length Std = 188.2161865234375, Flow Bytes/s = 42016.80672, Bwd IAT Total = 10375.0, Bwd IAT Std = 5601.39453125, Bwd IAT Max = 9921.0, Fwd PSH Flags = 0, Bwd Packets/s = 369.3785095214844, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 108.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
"Network traffic details: Fwd Packet Length Max = 365.0, Fwd Packet Length Mean = 121.66666412353516, Fwd Packet Length Std = 210.73284912109375, Flow Bytes/s = 39225.02779, Bwd IAT Total = 12190.0, Bwd IAT Std = 6714.02685546875, Bwd IAT Max = 11813.0, Fwd PSH Flags = 0, Bwd Packets/s = 317.611572265625, SYN Flag Count = 0, URG Flag Count = 0, Avg Fwd Segment Size = 121.66666412353516, Init Fwd Win Bytes = 8192, Init Bwd Win Bytes = 219, Active Std = 0.0, Active Max = 0.0, Idle Std = 0.0. What is the possible network attack type? (Expected: 0)",0
